class,green_area
row,55
col,130
wavelength_nm,value
659.78,6.1499999999999996e-06
661.1,1.073e-05
662.42,1.008e-05
663.74,9.74e-06
665.05,1.242e-05
666.37,8.86e-06
667.69,7.84e-06
669.01,1.2339999999999999e-05
670.33,1.4180000000000001e-05
671.65,9.420000000000001e-06
672.97,9.35e-06
674.29,7.51e-06
675.6,5.510000000000001e-06
676.92,1.062e-05
678.24,2.899e-05
679.56,1.134e-05
680.88,7.97e-06
682.2,9.7e-06
683.52,1.999e-05
684.84,2.954e-05
686.15,7.3099999999999995e-06
687.47,9.17e-06
688.79,3.6400000000000003e-06
690.11,9.22e-06
691.43,1.686e-05
692.75,1.346e-05
694.07,8.15e-06
695.38,7.85e-06
696.7,7.95e-06
698.02,8.85e-06
699.34,2.073e-05
700.66,7.75e-06
701.98,4.84e-06
703.3,8.26e-06
704.62,1.4729999999999998e-05
705.93,2.01e-05
707.25,6.529999999999999e-06
708.57,1.057e-05
709.89,1.765e-05
711.21,1.4050000000000001e-05
712.53,9.950000000000001e-06
713.85,1.764e-05
715.16,7.52e-06
716.48,6.93e-06
717.8,1.917e-05
719.12,3.0449999999999998e-05
720.44,6.6799999999999996e-06
721.76,7.94e-06
723.08,3.05e-06
724.4,1.0209999999999999e-05
725.71,2.651e-05
727.03,1.117e-05
728.35,7.340000000000001e-06
729.67,5.4e-06
730.99,1.042e-05
732.31,2.114e-05
733.63,1.416e-05
734.95,3.68e-06
736.26,1.586e-05
737.58,1.095e-05
738.9,1.124e-05
740.22,1.983e-05
741.54,6.76e-06
742.86,9.44e-06
744.18,1.2489999999999999e-05
745.49,1.44e-05
746.81,8.599999999999999e-06
748.13,7.13e-06
749.45,1.147e-05
750.77,6.840000000000001e-06
752.09,1.051e-05
753.41,2.8689999999999998e-05
754.73,1.908e-05
756.04,8.35e-06
757.36,5.69e-06
758.68,1.815e-05
760.0,2.8820000000000002e-05
761.32,5.22e-06
762.64,1.98e-05
763.96,4.02e-06
765.27,1.223e-05
766.59,1.779e-05
767.91,1.326e-05
769.23,6.35e-06
770.55,6.1499999999999996e-06
771.87,1.01e-05
773.19,9.64e-06
774.51,1.556e-05
775.82,5.95e-06
777.14,4.45e-06
778.46,1.081e-05
779.78,1.367e-05
781.1,1.9489999999999998e-05
782.42,8.25e-06
783.74,7.99e-06
785.05,1.81e-05
786.37,1.585e-05
787.69,1.16e-05
789.01,1.927e-05
790.33,8.740000000000001e-06
791.65,4.02e-06
792.97,1.772e-05
794.29,3.2069999999999996e-05
795.6,5.899999999999999e-06
796.92,5.77e-06
798.24,6.95e-06
799.56,1.4089999999999999e-05
800.88,2.868e-05
802.2,1.323e-05
803.52,7.77e-06
804.84,4.62e-06
806.15,1.178e-05
807.47,1.914e-05
808.79,1.3719999999999999e-05
810.11,3.51e-06
811.43,1.4619999999999999e-05
812.75,9.85e-06
814.07,1.029e-05
815.38,1.895e-05
